url: https://www.spotrac.com/nba/injured/_/year/2025/view/player
rank,player,pos,team,injury_details,games_missed,days_missed,cash_total
1,Joel Embiid,C,PHI,"Short-Term IR: Knee: 10/23/24-11/4/24, 2/12-2/12/25 | Short-Term IR: Injury Management: 11/13/24-12/7/24, 2/5-2/5/25 | Short-Term IR: Face: 12/16/24-12/22/24 | Short-Term IR: Foot: 1/1-1/1/25, 1/6-2/2/25 | IR: Knee: 2/24-4/13/25",59,124,36641256
2,Brandon Ingram,SF,NOP,"Short-Term IR: Calf: 11/25/24-12/4/24 | Short-Term IR: Ankle: 12/12/24-2/7/25, 2/9-4/13/25",62,131,27115690
3,Kawhi Leonard,SF,LAC,"Short-Term IR: Knee: 10/23/24-1/3/25, 2/13-2/13/25, 3/5-3/5/25, 3/30-3/30/25, 4/8-4/8/25 | Short-Term IR: Personal: 1/8-1/8/25 | Short-Term IR: Injury Management: 1/16-1/16/25, 1/22-1/22/25, 3/12-3/12/25 | Short-Term IR: Foot: 2/23-2/24/25",44,83,23471736
4,Paul George,SG,PHI,"Short-Term IR: Knee: 10/23/24-11/3/24, 11/22/24-11/29/24 | Short-Term IR: Injury Management: 11/13/24-11/13/24, 12/4/24-12/4/24 | Short-Term IR: Groin: 1/8-1/8/25, 1/18-1/19/25, 3/3-3/3/25, 3/6-3/16/25 | Short-Term IR: Ankle: 1/14-1/14/25 | Short-Term IR: Finger: 1/28-2/4/25 | Short-Term IR: Adductor: 3/17-4/13/25",41,73,20643816
5,Zion Williamson,PF,NOP,"Short-Term IR: Hamstring: 11/3/24-11/5/24, 11/8/24-1/5/25 | Short-Term IR: Illness: 1/31-1/31/25 | Short-Term IR: Personal: 3/15-3/15/25 | Short-Term IR: Back: 3/23-4/13/25",41,86,18151762
6,Immanuel Quickley,PG,TOR,"Short-Term IR: Pelvis: 10/23/24-11/8/24 | Short-Term IR: Elbow: 11/12/24-12/31/24 | Short-Term IR: Hip: 1/13-1/29/25 | Short-Term IR: Injury Management: 2/5-2/5/25 | Short-Term IR: Rest: 3/8-3/8/25, 3/12-3/12/25, 3/16-3/16/25, 3/23-3/23/25, 3/26-3/26/25, 3/30-3/30/25, 4/3-4/3/25, 4/6-4/6/25, 4/11-4/11/25, 4/13-4/13/25",48,95,17744290
7,Deandre Ayton,C,POR,"Short-Term IR: Finger: 11/12/24-11/26/24 | Short-Term IR: Illness: 12/13/24-12/13/24, 12/15/24-12/15/24 | Short-Term IR: Calf: 1/11-1/11/25 | Short-Term IR: Back: 1/18-1/18/25 | Short-Term IR: Knee: 1/23-1/26/25 | Short-Term IR: Leg: 2/12-4/13/25",42,83,16220856
8,Giannis Antetokounmpo,PF,MIL,"Short-Term IR: Adductor: 11/4/24-11/6/24 | Short-Term IR: Knee: 11/26/24-11/26/24, 2/3-2/3/25 | Short-Term IR: Back: 12/21/24-12/18/24 | Short-Term IR: Illness: 12/26/24-1/28/25 | Short-Term IR: Calf: 2/5-2/12/25 | Short-Term IR: Foot: 3/26-3/26/25 | Short-Term IR: Shoulder: 4/6-4/6/25, 4/13-4/13/25",15,54,15141006
9,Dejounte Murray,PG,NOP,Short-Term IR: Hand: 10/24/24-11/26/24 | Short-Term IR: Elbow: 1/25-1/25/25 | IR: Achilles: 2/1-4/13/25,52,106,15107756
10,Bradley Beal,SG,PHX,"Short-Term IR: Elbow: 10/26/24-10/27/24, 10/31/24-11/1/24 | Short-Term IR: Calf: 11/13/24-11/24/24, 11/30/24-12/2/24, 2/27-2/28/25 | Short-Term IR: Knee: 12/13/24-12/13/24 | Short-Term IR: Ankle: 1/16-1/18/25, 1/22-1/22/25 | Short-Term IR: Toe: 2/7-2/12/25 | Short-Term IR: Injury Management: 3/10-3/10/25 | Short-Term IR: Hamstring: 3/17-4/1/25 | Short-Term IR: Rest: 4/13-4/13/25",27,50,14426400
