player,team,games,mp,ws48,vorp,war,war_per_minute,mpg
Mikal Bridges,NYK,82,3036,0.09,1.2,3.24,0.0010671936758893281,37.02439024390244
Josh Hart,NYK,77,2897,0.153,3.6,9.72,0.0033551950293406975,37.62337662337662
Anthony Edwards,MIN,79,2871,0.14,4.6,12.42,0.00432601880877743,36.34177215189873
Devin Booker,PHO,75,2795,0.111,1.7,4.59,0.0016422182468694097,37.266666666666666
James Harden,LAC,79,2789,0.143,4.4,11.880000000000003,0.0042595912513445685,35.30379746835443
DeMar DeRozan,SAC,77,2768,0.123,1.3,3.5100000000000002,0.001268063583815029,35.94805194805195
Trae Young,ATL,76,2739,0.1,1.7,4.59,0.0016757940854326397,36.03947368421053
Tyler Herro,MIA,77,2725,0.131,3.5,9.450000000000001,0.003467889908256881,35.38961038961039
OG Anunoby,NYK,74,2706,0.116,1.9,5.13,0.0018957871396895786,36.567567567567565
Jalen Green,HOU,82,2697,0.092,1.7,4.59,0.0017018909899888764,32.890243902439025
Christian Braun,DEN,79,2675,0.144,1.6,4.32,0.0016149532710280374,33.860759493670884
Bam Adebayo,MIA,78,2674,0.135,2.7,7.290000000000001,0.0027262528047868368,34.282051282051285
Ivica Zubac,LAC,80,2624,0.215,3.4,9.18,0.0034984756097560976,32.8
Jayson Tatum,BOS,72,2624,0.174,4.8,12.96,0.0049390243902439025,36.44444444444444
Jaden McDaniels,MIN,82,2614,0.115,1.4,3.78,0.0014460596786534047,31.878048780487806
Keegan Murray,SAC,76,2610,0.082,0.2,0.54,0.00020689655172413795,34.3421052631579
Zach LaVine,CHI,42,1432,0.101,1.3,3.5100000000000002,0.0024511173184357544,34.095238095238095
Zach LaVine,SAC,32,1170,0.086,0.5,1.35,0.001153846153846154,36.5625
Shai Gilgeous-Alexander,OKC,76,2598,0.309,8.9,24.03,0.009249422632794458,34.18421052631579
Michael Porter Jr.,DEN,77,2593,0.118,1.2,3.24,0.0012495179328962593,33.675324675324674
Derrick White,BOS,76,2574,0.158,3.6,9.72,0.0037762237762237767,33.86842105263158
Dyson Daniels,ATL,76,2571,0.093,2.3,6.21,0.0024154025670945155,33.828947368421055
Nikola Jokic,DEN,70,2571,0.307,9.8,26.460000000000004,0.010291715285880982,36.72857142857143
Austin Reaves,LAL,73,2550,0.144,2.6,7.0200000000000005,0.002752941176470588,34.93150684931507
Toumani Camara,POR,78,2548,0.097,1.2,3.24,0.0012715855572998432,32.666666666666664
Pascal Siakam,IND,78,2548,0.142,2.4,6.48,0.0025431711145996864,32.666666666666664
Brook Lopez,MIL,80,2546,0.124,1.8,4.86,0.0019088766692851532,31.825
Karl-Anthony Towns,NYK,72,2517,0.193,3.5,9.450000000000001,0.003754469606674613,34.958333333333336
Bub Carrington,WAS,82,2458,0.005,-1.6,-4.32,-0.001757526444263629,29.975609756097562
Cade Cunningham,DET,70,2452,0.115,3.7,9.990000000000002,0.004074225122349104,35.02857142857143
Tyrese Haliburton,IND,73,2451,0.204,4.9,13.230000000000002,0.00539779681762546,33.57534246575342
Coby White,CHI,74,2450,0.088,0.7,1.89,0.0007714285714285713,33.108108108108105
LeBron James,LAL,70,2444,0.152,4.7,12.690000000000001,0.005192307692307693,34.91428571428571
Domantas Sabonis,SAC,70,2429,0.199,4.4,11.880000000000003,0.004890901605599013,34.7
Jamal Murray,DEN,67,2418,0.123,1.7,4.59,0.0018982630272952852,36.08955223880597
Alperen Sengun,HOU,76,2395,0.166,3.9,10.530000000000001,0.004396659707724427,31.513157894736842
Dillon Brooks,HOU,75,2388,0.103,0.4,1.08,0.0004522613065326634,31.84
Rudy Gobert,MIN,72,2388,0.204,2.4,6.48,0.00271356783919598,33.166666666666664
Tobias Harris,DET,73,2305,0.108,1.2,3.24,0.0014056399132321043,31.575342465753426
Darius Garland,CLE,75,2301,0.169,3.0,8.100000000000001,0.003520208604954368,30.68
Jalen Brunson,NYK,65,2301,0.172,3.1,8.370000000000001,0.0036375488917861805,35.4
Jarrett Allen,CLE,82,2296,0.243,3.6,9.72,0.004233449477351917,28.0
Chris Paul,SAS,82,2292,0.12,1.6,4.32,0.0018848167539267018,27.951219512195124
Anfernee Simons,POR,70,2292,0.087,1.1,2.9700000000000006,0.0012958115183246076,32.74285714285714
Giannis Antetokounmpo,MIL,67,2289,0.241,6.6,17.82,0.007785058977719529,34.16417910447761
Malik Beasley,DET,82,2283,0.1,1.6,4.32,0.0018922470433639948,27.841463414634145
Kentavious Caldwell-Pope,ORL,77,2279,0.096,0.3,0.81,0.00035541904344010535,29.5974025974026
Nikola Vucevic,CHI,73,2278,0.153,2.7,7.290000000000001,0.00320017559262511,31.205479452054796
Payton Pritchard,BOS,80,2271,0.183,3.2,8.64,0.0038044914134742406,28.3875
Kevin Durant,PHO,62,2265,0.111,3.0,8.100000000000001,0.0035761589403973514,36.53225806451613
Shaedon Sharpe,POR,72,2252,0.064,0.4,1.08,0.00047957371225577266,31.27777777777778
Stephen Curry,GSW,70,2252,0.168,4.8,12.96,0.005754884547069272,32.17142857142857
De'Aaron Fox,SAC,45,1663,0.101,1.3,3.5100000000000002,0.002110643415514131,36.955555555555556
De'Aaron Fox,SAS,17,578,0.071,0.0,0.0,0.0,34.0
Jalen Williams,OKC,69,2237,0.168,3.4,9.18,0.004103710326329906,32.42028985507246
Donovan Mitchell,CLE,71,2232,0.163,3.2,8.64,0.0038709677419354843,31.43661971830986
Harrison Barnes,SAS,82,2230,0.12,1.2,3.24,0.0014529147982062782,27.195121951219512
Julius Randle,MIN,69,2226,0.134,1.8,4.86,0.002183288409703504,32.26086956521739
Amen Thompson,HOU,69,2225,0.172,3.4,9.18,0.004125842696629214,32.2463768115942
Jaren Jackson Jr.,MEM,74,2207,0.139,2.4,6.48,0.002936112369732669,29.824324324324323
Desmond Bane,MEM,69,2205,0.142,2.9,7.83,0.003551020408163265,31.956521739130434
Naz Reid,MIN,80,2200,0.125,2.0,5.4,0.002454545454545455,27.5
Tyus Jones,PHO,81,2174,0.096,1.1,2.9700000000000006,0.0013661453541858328,26.839506172839506
Myles Turner,IND,72,2174,0.104,1.3,3.5100000000000002,0.0016145354185832569,30.194444444444443
Evan Mobley,CLE,71,2167,0.2,3.6,9.72,0.004485463774803877,30.52112676056338
Taurean Prince,MIL,80,2166,0.077,0.1,0.27,0.00012465373961218838,27.075
Stephon Castle,SAS,81,2162,0.025,-0.6,-1.62,-0.0007493061979648475,26.691358024691358
Deni Avdija,POR,72,2161,0.124,2.2,5.940000000000001,0.002748727440999538,30.01388888888889
Jaylen Brown,BOS,63,2158,0.115,1.1,2.9700000000000006,0.0013762743280815574,34.25396825396825
Tim Hardaway Jr.,DET,77,2153,0.077,0.0,0.0,0.0,27.961038961038962
Bennedict Mathurin,IND,72,2149,0.068,-0.5,-1.35,-0.0006281991624011168,29.84722222222222
Spencer Dinwiddie,DAL,79,2136,0.082,0.2,0.54,0.00025280898876404496,27.037974683544302
Scottie Barnes,TOR,65,2134,0.078,2.3,6.21,0.002910028116213683,32.83076923076923
Max Christie,LAL,46,1154,0.081,0.0,0.0,0.0,25.08695652173913
Max Christie,DAL,32,973,0.035,-0.3,-0.81,-0.0008324768756423433,30.40625
Josh Giddey,CHI,70,2117,0.121,2.7,7.290000000000001,0.003443552196504488,30.242857142857144
Fred VanVleet,HOU,60,2111,0.119,1.5,4.050000000000001,0.0019185220274751307,35.18333333333333
Keyonte George,UTA,67,2109,0.024,-0.3,-0.81,-0.0003840682788051209,31.47761194029851
Dennis Schroder,BRK,23,772,0.099,0.4,1.08,0.0013989637305699483,33.56521739130435
Dennis Schroder,GSW,24,628,0.012,-0.5,-1.35,-0.0021496815286624203,26.166666666666668
Dennis Schroder,DET,28,705,0.1,0.0,0.0,0.0,25.178571428571427
Damian Lillard,MIL,58,2093,0.175,3.2,8.64,0.0041280458671763024,36.08620689655172
Russell Westbrook,DEN,75,2092,0.045,0.5,1.35,0.0006453154875717018,27.893333333333334
Kelly Oubre Jr.,PHI,60,2078,0.061,-0.1,-0.27,-0.00012993262752646778,34.63333333333333
Nickeil Alexander-Walker,MIN,82,2073,0.099,0.8,2.16,0.0010419681620839364,25.28048780487805
Luguentz Dort,OKC,71,2073,0.129,1.2,3.24,0.0015629522431259047,29.197183098591548
Onyeka Okongwu,ATL,74,2064,0.168,1.7,4.59,0.0022238372093023257,27.89189189189189
Malik Monk,SAC,65,2054,0.065,0.6,1.62,0.0007887049659201558,31.6
Jaylen Wells,MEM,79,2043,0.083,-0.1,-0.27,-0.00013215859030837006,25.860759493670887
Jalen Duren,DET,78,2034,0.218,2.7,7.290000000000001,0.0035840707964601773,26.076923076923077
Jalen Wilson,BRK,79,2031,0.046,-1.0,-2.7,-0.001329394387001477,25.70886075949367
Miles Bridges,CHO,64,2029,0.075,2.0,5.4,0.002661409561360276,31.703125
Davion Mitchell,TOR,44,1080,0.031,-0.6,-1.62,-0.0015,24.545454545454547
Davion Mitchell,MIA,30,947,0.114,0.3,0.81,0.0008553326293558607,31.566666666666666
Franz Wagner,ORL,60,2023,0.133,2.6,7.0200000000000005,0.00347009391992091,33.71666666666667
Quentin Grimes,DAL,47,1070,0.078,0.5,1.35,0.0012616822429906544,22.76595744680851
Quentin Grimes,PHI,28,943,0.083,0.8,2.16,0.002290562036055143,33.67857142857143
Jordan Poole,WAS,68,2001,0.047,1.2,3.24,0.0016191904047976012,29.426470588235293
Draymond Green,GSW,68,1983,0.088,1.3,3.5100000000000002,0.0017700453857791227,29.16176470588235
Devin Vassell,SAS,64,1983,0.054,0.4,1.08,0.0005446293494704992,30.984375
Klay Thompson,DAL,72,1965,0.045,0.5,1.35,0.0006870229007633588,27.291666666666668
Tyrese Maxey,PHI,52,1960,0.094,2.0,5.4,0.0027551020408163266,37.69230769230769
Norman Powell,LAC,60,1958,0.129,1.8,4.86,0.002482124616956078,32.63333333333333
Yves Missi,NOP,73,1956,0.089,-0.5,-1.35,-0.0006901840490797546,26.794520547945204
Keon Ellis,SAC,80,1948,0.122,1.9,5.13,0.00263347022587269,24.35
Bilal Coulibaly,WAS,59,1948,0.008,-0.8,-2.16,-0.001108829568788501,33.016949152542374
Kyle Kuzma,WAS,32,887,-0.068,-0.7,-1.89,-0.0021307779030439685,27.71875
Kyle Kuzma,MIL,33,1049,0.014,-0.7,-1.89,-0.0018017159199237368,31.78787878787879
Julian Champagnie,SAS,82,1932,0.062,0.4,1.08,0.0005590062111801243,23.5609756097561
Keon Johnson,BRK,79,1925,0.014,-0.6,-1.62,-0.0008415584415584416,24.367088607594937
Naji Marshall,DAL,69,1919,0.087,0.6,1.62,0.0008441896821261074,27.81159420289855
Jrue Holiday,BOS,62,1896,0.13,1.3,3.5100000000000002,0.0018512658227848103,30.580645161290324
Guerschon Yabusele,PHI,70,1895,0.099,0.5,1.35,0.000712401055408971,27.071428571428573
Gary Trent Jr.,MIL,74,1893,0.084,0.2,0.54,0.0002852614896988907,25.58108108108108
Anthony Black,ORL,78,1887,0.061,0.0,0.0,0.0,24.192307692307693
Josh Green,CHO,68,1887,0.037,-1.1,-2.9700000000000006,-0.0015739268680445154,27.75
Nic Claxton,BRK,70,1882,0.11,1.1,2.9700000000000006,0.0015781083953241236,26.885714285714286
Andrew Nembhard,IND,65,1881,0.071,-0.1,-0.27,-0.00014354066985645933,28.93846153846154
Cason Wallace,OKC,68,1876,0.133,1.5,4.050000000000001,0.002158848614072495,27.58823529411765
Derrick Jones Jr.,LAC,77,1873,0.12,0.8,2.16,0.0011532301121195943,24.324675324675326
Rui Hachimura,LAL,59,1869,0.11,0.6,1.62,0.0008667736757624399,31.677966101694917
RJ Barrett,TOR,58,1869,0.061,1.2,3.24,0.0017335473515248797,32.224137931034484
Buddy Hield,GSW,82,1863,0.073,0.5,1.35,0.0007246376811594203,22.71951219512195
Trey Murphy III,NOP,53,1854,0.091,1.3,3.5100000000000002,0.0018932038834951457,34.9811320754717
Zaccharie Risacher,ATL,75,1843,0.046,-0.7,-1.89,-0.0010255018990775909,24.573333333333334
Andrew Wiggins,GSW,43,1296,0.119,1.0,2.7,0.0020833333333333333,30.13953488372093
Andrew Wiggins,MIA,17,546,0.069,0.4,1.08,0.001978021978021978,32.11764705882353
Isaiah Collier,UTA,71,1839,-0.021,-1.6,-4.32,-0.00234910277324633,25.901408450704224
Keldon Johnson,SAS,77,1838,0.083,0.2,0.54,0.00029379760609358,23.87012987012987
Royce O'Neale,PHO,75,1837,0.073,1.0,2.7,0.0014697876973326076,24.493333333333332
P.J. Washington,DAL,57,1835,0.062,0.5,1.35,0.0007356948228882834,32.19298245614035
CJ McCollum,NOP,56,1832,0.038,0.3,0.81,0.0004421397379912664,32.714285714285715
Haywood Highsmith,MIA,74,1818,0.088,0.1,0.27,0.0001485148514851485,24.56756756756757
Dorian Finney-Smith,BRK,20,579,0.094,0.3,0.81,0.0013989637305699483,28.95
Dorian Finney-Smith,LAL,43,1239,0.07,0.2,0.54,0.0004358353510895884,28.813953488372093
Alex Sarr,WAS,67,1814,-0.007,-0.6,-1.62,-0.0008930540242557884,27.074626865671643
Kyrie Irving,DAL,50,1804,0.124,2.5,6.75,0.0037416851441241686,36.08
Kyshawn George,WAS,68,1802,0.003,-0.9,-2.43,-0.0013485016648168702,26.5
Cameron Johnson,BRK,57,1800,0.137,2.3,6.21,0.00345,31.57894736842105
Duncan Robinson,MIA,74,1785,0.071,0.1,0.27,0.0001512605042016807,24.12162162162162
Kris Dunn,LAC,74,1783,0.108,1.2,3.24,0.0018171620863712845,24.094594594594593
Luka Doncic,DAL,22,785,0.155,1.8,4.86,0.006191082802547771,35.68181818181818
Luka Doncic,LAL,28,984,0.164,2.1,5.670000000000001,0.00576219512195122,35.142857142857146
Scoot Henderson,POR,66,1759,0.049,-0.1,-0.27,-0.0001534963047185901,26.651515151515152
Wendell Carter Jr.,ORL,68,1758,0.125,0.3,0.81,0.0004607508532423208,25.852941176470587
Collin Sexton,UTA,63,1758,0.066,0.6,1.62,0.0009215017064846416,27.904761904761905
Mike Conley,MIN,71,1756,0.142,1.4,3.78,0.002152619589977221,24.732394366197184
Amir Coffey,LAC,72,1748,0.111,0.1,0.27,0.00015446224256292907,24.27777777777778
Jimmy Butler,MIA,25,766,0.233,1.3,3.5100000000000002,0.0045822454308094,30.64
Jimmy Butler,GSW,30,980,0.242,1.7,4.59,0.0046836734693877545,32.666666666666664
Aaron Wiggins,OKC,76,1744,0.148,1.4,3.78,0.0021674311926605503,22.94736842105263
Walker Kessler,UTA,58,1740,0.149,1.7,4.59,0.0026379310344827587,30.0
De'Andre Hunter,ATL,37,1064,0.1,0.4,1.08,0.0010150375939849624,28.756756756756758
De'Andre Hunter,CLE,27,676,0.157,0.6,1.62,0.002396449704142012,25.037037037037038
Ochai Agbaji,TOR,64,1739,0.087,0.5,1.35,0.0007763082231167338,27.171875
Brandin Podziemski,GSW,64,1716,0.117,1.2,3.24,0.0018881118881118883,26.8125
Jabari Smith Jr.,HOU,57,1716,0.117,0.6,1.62,0.0009440559440559442,30.105263157894736
Anthony Davis,LAL,42,1440,0.207,2.9,7.83,0.0054375,34.285714285714285
Anthony Davis,DAL,9,266,0.088,0.3,0.81,0.0030451127819548876,29.555555555555557
Bradley Beal,PHO,53,1702,0.068,0.4,1.08,0.0006345475910693303,32.113207547169814
Georges Niang,CLE,51,1053,0.099,0.1,0.27,0.0002564102564102564,20.647058823529413
Georges Niang,ATL,28,644,0.051,-0.2,-0.54,-0.0008385093167701863,23.0
